subject,site,student
sub-NDARAA947ZG5,ses-HBNsiteCBIC,Danni
sub-NDARAB348EWR,ses-HBNsiteCBIC,Danni
sub-NDARAB458VK9,ses-HBNsiteCBIC,Danni
sub-NDARAB708LM5,ses-HBNsiteCBIC,Danni
sub-NDARAB756JDJ,ses-HBNsiteCBIC,Danni
sub-NDARAB977GFB,ses-HBNsiteCBIC,Danni
sub-NDARAC331VEH,ses-HBNsiteCBIC,Danni
sub-NDARAC349YUC,ses-HBNsiteCBIC,Danni
sub-NDARAC350BZ0,ses-HBNsiteCBIC,Danni
sub-NDARAC350XUM,ses-HBNsiteCBIC,Danni
sub-NDARAC857HDB,ses-HBNsiteCBIC,Haozheng
sub-NDARAD615WLJ,ses-HBNsiteCBIC,Haozheng
sub-NDARAE877NER,ses-HBNsiteCBIC,Haozheng
sub-NDARAF535XK6,ses-HBNsiteCBIC,Haozheng
sub-NDARAG115LZP,ses-HBNsiteCBIC,Haozheng
sub-NDARAG191AE8,ses-HBNsiteCBIC,Haozheng
sub-NDARAG610XL4,ses-HBNsiteCBIC,Haozheng
sub-NDARAH793FBF,ses-HBNsiteCBIC,Haozheng
sub-NDARAL828WXM,ses-HBNsiteCBIC,Haozheng
sub-NDARAN076TPG,ses-HBNsiteCBIC,Haozheng
sub-NDARAN934AZL,ses-HBNsiteCBIC,Kaixing
sub-NDARAP049KXJ,ses-HBNsiteCBIC,Kaixing
sub-NDARAP457WB5,ses-HBNsiteCBIC,Kaixing
sub-NDARAP739AUP,ses-HBNsiteCBIC,Kaixing
sub-NDARAR238RZ8,ses-HBNsiteCBIC,Kaixing
sub-NDARAT680GJA,ses-HBNsiteCBIC,Kaixing
sub-NDARAT982JTU,ses-HBNsiteCBIC,Kaixing
sub-NDARAU530GLJ,ses-HBNsiteCBIC,Kaixing
sub-NDARAU939WUK,ses-HBNsiteCBIC,Kaixing
sub-NDARAV187GJ5,ses-HBNsiteCBIC,Kaixing
sub-NDARAW216PM7,ses-HBNsiteCBIC,Ningkun
sub-NDARAX075WL9,ses-HBNsiteCBIC,Ningkun
sub-NDARAX277ATU,ses-HBNsiteCBIC,Ningkun
sub-NDARAX287BLD,ses-HBNsiteCBIC,Ningkun
sub-NDARAY969YUW,ses-HBNsiteCBIC,Ningkun
sub-NDARAZ681CYF,ses-HBNsiteCBIC,Ningkun
sub-NDARBD328NUQ,ses-HBNsiteCBIC,Ningkun
sub-NDARBE719PMB,ses-HBNsiteCBIC,Ningkun
sub-NDARBE912PB0,ses-HBNsiteCBIC,Ningkun
sub-NDARBF183RFB,ses-HBNsiteCBIC,Ningkun
sub-NDARBF293YRB,ses-HBNsiteCBIC,Simon
sub-NDARBF389RLF,ses-HBNsiteCBIC,Simon
sub-NDARBF851NH6,ses-HBNsiteCBIC,Simon
sub-NDARBG188RA5,ses-HBNsiteCBIC,Simon
sub-NDARBH019KPD,ses-HBNsiteCBIC,Simon
sub-NDARBH512BHA,ses-HBNsiteCBIC,Simon
sub-NDARAC853CR6,ses-HBNsiteCUNY,NA
sub-NDARAL897CYV,ses-HBNsiteCUNY,NA
sub-NDARAM357BUA,ses-HBNsiteCUNY,NA
sub-NDARAY665GWN,ses-HBNsiteCUNY,NA
sub-NDARBF042LDM,ses-HBNsiteCUNY,NA
sub-NDARAA306NT2,ses-HBNsiteRU,Laura
sub-NDARAA948VFH,ses-HBNsiteRU,Laura
sub-NDARAB055BPR,ses-HBNsiteRU,Laura
sub-NDARAC462DZH,ses-HBNsiteRU,Laura
sub-NDARAC495TJ2,ses-HBNsiteRU,Laura
sub-NDARAC853DTE,ses-HBNsiteRU,Laura
sub-NDARAC904DMU,ses-HBNsiteRU,Laura
sub-NDARAD232HVV,ses-HBNsiteRU,Laura
sub-NDARAD571FLB,ses-HBNsiteRU,Laura
sub-NDARAE012DGA,ses-HBNsiteRU,Xin
sub-NDARAE358VBE,ses-HBNsiteRU,Xin
sub-NDARAF440XWG,ses-HBNsiteRU,Xin
sub-NDARAG340ERT,ses-HBNsiteRU,Xin
sub-NDARAH503YG1,ses-HBNsiteRU,Xin
sub-NDARAH948UF0,ses-HBNsiteRU,Xin
sub-NDARAK738BGC,ses-HBNsiteRU,Xin
sub-NDARAM675UR8,ses-HBNsiteRU,Xin
sub-NDARAN262WK6,ses-HBNsiteRU,Xin
sub-NDARAN814UPR,ses-HBNsiteRU,Xin
sub-NDARAP176AD1,ses-HBNsiteRU,Zongyue
sub-NDARAP522AFK,ses-HBNsiteRU,Zongyue
sub-NDARAP782TVC,ses-HBNsiteRU,Zongyue
sub-NDARAP785CTE,ses-HBNsiteRU,Zongyue
sub-NDARAP964VDB,ses-HBNsiteRU,Zongyue
sub-NDARAR305LXG,ses-HBNsiteRU,Zongyue
sub-NDARAT358XM9,ses-HBNsiteRU,Zongyue
sub-NDARAT581NDH,ses-HBNsiteRU,Zongyue
sub-NDARAT709MMX,ses-HBNsiteRU,Zongyue
sub-NDARAU708TL8,ses-HBNsiteRU,Zongyue
sub-NDARAU840EUZ,ses-HBNsiteRU,Shuai
sub-NDARAV031PPJ,ses-HBNsiteRU,Shuai
sub-NDARAV554TP2,ses-HBNsiteRU,Shuai
sub-NDARAV610EY3,ses-HBNsiteRU,Shuai
sub-NDARAW179AYF,ses-HBNsiteRU,Shuai
sub-NDARAW247CCF,ses-HBNsiteRU,Shuai
sub-NDARAX272ZJL,ses-HBNsiteRU,Shuai
sub-NDARAX283MAK,ses-HBNsiteRU,Shuai
sub-NDARAY298THW,ses-HBNsiteRU,Shuai
sub-NDARAY475AKD,ses-HBNsiteRU,Shuai
sub-NDARBA680RFY,ses-HBNsiteRU,Yisu
sub-NDARBB901UD2,ses-HBNsiteRU,Yisu
sub-NDARBC734UVY,ses-HBNsiteRU,Yisu
sub-NDARBD341NEM,ses-HBNsiteRU,Yisu
sub-NDARBE123PWH,ses-HBNsiteRU,Yisu
sub-NDARBE287EFC,ses-HBNsiteRU,Yisu
sub-NDARBF176LPM,ses-HBNsiteRU,Yisu
sub-NDARBF805EHN,ses-HBNsiteRU,Yisu
sub-NDARBG574KF4,ses-HBNsiteRU,Yisu
sub-NDARBG831VK4,ses-HBNsiteRU,Yisu
